fecha,provincia,temp_media,precipitacion,temp_minima,temp_maxima
01-04-2023,MADRID,"14,4",no,"9,0","19,9"
02-04-2023,MADRID,"11,6",no,"4,2","19,0"
03-04-2023,MADRID,"12,0",no,"4,0","20,0"
04-04-2023,MADRID,"13,8",no,"7,0","20,7"
05-04-2023,MADRID,"13,2",no,"4,2","22,1"
06-04-2023,MADRID,"16,6",no,"9,1","24,1"
07-04-2023,MADRID,"16,4",no,"8,0","24,7"
08-04-2023,MADRID,"17,4",no,"8,8","26,0"
09-04-2023,MADRID,"18,9",no,"10,5","27,3"
10-04-2023,MADRID,"20,3",no,"13,2","27,4"
11-04-2023,MADRID,"18,6",no,"10,8","26,4"
12-04-2023,MADRID,"14,6",si,"9,4","19,9"
13-04-2023,MADRID,"11,8",no,"6,5","17,0"
14-04-2023,MADRID,"13,5",no,"7,0","20,0"
15-04-2023,MADRID,"16,7",no,"9,7","23,7"
16-04-2023,MADRID,"17,4",no,"10,0","24,8"
17-04-2023,MADRID,"17,4",no,"9,3","25,5"
18-04-2023,MADRID,"16,4",no,"9,5","23,2"
19-04-2023,MADRID,"17,4",no,"10,3","24,6"
20-04-2023,MADRID,"19,0",no,"10,6","27,4"
21-04-2023,MADRID,"18,3",si,"11,0","25,6"
22-04-2023,MADRID,"16,1",si,"11,2","21,0"
23-04-2023,MADRID,"16,8",no,"9,5","24,0"
24-04-2023,MADRID,"18,5",no,"11,2","25,8"
25-04-2023,MADRID,"20,8",no,"13,0","28,6"
26-04-2023,MADRID,"21,9",no,"14,2","29,6"
27-04-2023,MADRID,"23,6",no,"15,8","31,4"
28-04-2023,MADRID,"25,2",no,"18,5","31,8"
29-04-2023,MADRID,"21,6",si,"16,8","26,5"
30-04-2023,MADRID,"19,6",no,"13,8","25,4"
