producto_id,producto,formato,ancho,alto,subcategoria_id,categoria_id
1,Plátano de Canarias,Pieza 150 g aprox.,desconocido,desconocido,1,1
2,Banana,Pieza 170 g aprox.,desconocido,desconocido,1,1
3,Plátano macho,Pieza 340 g aprox.,desconocido,desconocido,1,1
4,Uva blanca sin semillas,Bandeja 500 g aprox.,desconocido,desconocido,1,1
5,Uva roja sin semillas,Bandeja 500 g aprox.,desconocido,desconocido,1,1
6,Manzana Golden,Pieza 190 g aprox.,7.5,7.4,2,1
7,Manzanas Golden,"Bolsa 1,5 kg aprox.",desconocido,desconocido,2,1
8,Pera Conferencia,Pieza 160 g aprox.,desconocido,desconocido,2,1
9,Peras Conferencia,"1,5 kg aprox.",desconocido,desconocido,2,1
10,Pera Ercolina,Pieza 90 g aprox.,desconocido,desconocido,2,1
11,Manzana Granny Smith,Pieza 210 g aprox.,7.9,7.1,2,1
12,Manzana Evelina,Pieza 260 g aprox.,desconocido,desconocido,2,1
13,Manzana Evelina,"Bolsa 1,5 kg aprox.",desconocido,desconocido,2,1
14,Manzana Envy,Pieza 280 g aprox.,desconocido,desconocido,2,1
15,Manzanas Envy,"Bolsa 1,5 kg aprox.",desconocido,desconocido,2,1
16,1/4 Sandía baja en semillas,"1/4 Pieza 1,33 kg aprox.",desconocido,desconocido,3,1
17,Media sandía baja en semillas,"1/2 Pieza 2,56 kg aprox.",desconocido,desconocido,3,1
18,Sandía baja en semillas,"Pieza 5,13 kg aprox.",desconocido,desconocido,3,1
19,Limones,Malla 1 kg,desconocido,desconocido,4,1
20,Limón,Pieza 210 g aprox.,7.3,10.0,4,1
21,Mandarina,Pieza 170 g aprox.,5.9,4.4,4,1
22,Mandarina,Malla 2 kg,5.9,4.4,4,1
23,Naranja para mesa,Pieza 380 g aprox.,7.2,7.7,4,1
24,Naranjas,Malla 3 kg,desconocido,desconocido,4,1
25,Naranjas,Malla 5 kg,desconocido,desconocido,4,1
26,Pomelo,Pieza 350 g aprox.,desconocido,desconocido,4,1
27,Limas,400 g aprox.,desconocido,desconocido,4,1
28,Kiwi verde,Pieza 110 g aprox.,desconocido,desconocido,5,1
29,Kiwis verdes,1 kg aprox.,desconocido,desconocido,5,1
30,Aguacate,Pieza 190 g aprox.,desconocido,desconocido,5,1
31,Aguacates,550 g aprox.,desconocido,desconocido,5,1
32,Piña,Pieza 2 kg aprox.,desconocido,desconocido,5,1
33,Media piña,"1/2 Pieza 1,03 kg aprox.",desconocido,desconocido,5,1
34,Guacamole Hacendado,Tarrina 500 g,desconocido,desconocido,5,1
35,Guacamole Hacendado,Tarrina 200 g,desconocido,desconocido,5,1
36,Mango,Pieza 500 g aprox.,desconocido,desconocido,5,1
37,Piña natural a rodajas,Bote 500 g aprox.,desconocido,desconocido,5,1
38,Papaya,"Pieza 1,27 kg aprox.",desconocido,desconocido,5,1
39,Media papaya,1/2 Pieza 650 g aprox.,desconocido,desconocido,5,1
40,Chirimoya,Pieza 370 g aprox.,desconocido,desconocido,5,1
41,Fresón,Bandeja 500 g aprox.,desconocido,desconocido,6,1
42,Frambuesas,Bandeja 170 g,desconocido,desconocido,6,1
43,Níspero,Bandeja 500 g aprox.,desconocido,desconocido,6,1
44,Moras,Bandeja 125 g,desconocido,desconocido,6,1
45,Arándanos,Vaso 225 g,desconocido,desconocido,6,1
46,Arándanos,Tarrina 500 g,desconocido,desconocido,6,1
47,Lechuga iceberg,Pieza 1 ud.,desconocido,desconocido,7,2
